pi@raspberrypi:~/Documents/AES-21/Project3/rpi-mmal/build $ perf record ./istool1
Running...
 camera video buffer_size = 1382400
 camera video buffer_num = 2
 preview buffer_size = 1382400
 preview buffer_num = 4
  247 Frame processing times:  Cur. 4.475055 ms  |  Avg. 4.000000 ms  |  matches:  1600
  248 Frame processing times:  Cur. 4.520741 ms  |  Avg. 4.000000 ms  |  matches:  1600
  249 Frame processing times:  Cur. 4.468889 ms  |  Avg. 4.000000 ms  |  matches:  1600
  250 Frame processing times:  Cur. 4.449241 ms  |  Avg. 4.000000 ms  |  matches:  1600
  251 Frame processing times:  Cur. 4.477870 ms  |  Avg. 4.000000 ms  |  matches:  1600
  252 Frame processing times:  Cur. 4.492389 ms  |  Avg. 4.000000 ms  |  matches:  1600
  253 Frame processing times:  Cur. 4.470055 ms  |  Avg. 4.000000 ms  |  matches:  1600
  254 Frame processing times:  Cur. 4.508000 ms  |  Avg. 4.000000 ms  |  matches:  1600
  255 Frame processing times:  Cur. 4.490963 ms  |  Avg. 4.000000 ms  |  matches:  1600
  256 Frame processing times:  Cur. 4.490610 ms  |  Avg. 4.000000 ms  |  matches:  1600
  257 Frame processing times:  Cur. 4.513722 ms  |  Avg. 4.000000 ms  |  matches:  1600
  258 Frame processing times:  Cur. 4.496481 ms  |  Avg. 4.000000 ms  |  matches:  1600
  259 Frame processing times:  Cur. 4.481630 ms  |  Avg. 4.000000 ms  |  matches:  1600
  260 Frame processing times:  Cur. 4.496741 ms  |  Avg. 4.000000 ms  |  matches:  1600
  261 Frame processing times:  Cur. 4.490833 ms  |  Avg. 4.000000 ms  |  matches:  1600
  262 Frame processing times:  Cur. 4.468297 ms  |  Avg. 4.000000 ms  |  matches:  1600
  263 Frame processing times:  Cur. 4.490888 ms  |  Avg. 4.000000 ms  |  matches:  1600
  264 Frame processing times:  Cur. 4.511833 ms  |  Avg. 4.000000 ms  |  matches:  1600
  265 Frame processing times:  Cur. 4.449148 ms  |  Avg. 4.000000 ms  |  matches:  1600
  266 Frame processing times:  Cur. 4.521277 ms  |  Avg. 4.000000 ms  |  matches:  1600
  267 Frame processing times:  Cur. 4.486944 ms  |  Avg. 4.000000 ms  |  matches:  1600
  268 Frame processing times:  Cur. 4.474741 ms  |  Avg. 4.000000 ms  |  matches:  1600
  269 Frame processing times:  Cur. 4.526222 ms  |  Avg. 4.000000 ms  |  matches:  1600
  270 Frame processing times:  Cur. 4.509741 ms  |  Avg. 4.000000 ms  |  matches:  1600
  271 Frame processing times:  Cur. 4.515963 ms  |  Avg. 4.000000 ms  |  matches:  1600
  272 Frame processing times:  Cur. 4.497778 ms  |  Avg. 4.000000 ms  |  matches:  1600
  273 Frame processing times:  Cur. 4.497518 ms  |  Avg. 4.000000 ms  |  matches:  1600
  274 Frame processing times:  Cur. 4.473260 ms  |  Avg. 4.000000 ms  |  matches:  1600
  275 Frame processing times:  Cur. 4.535869 ms  |  Avg. 4.000000 ms  |  matches:  1600
  276 Frame processing times:  Cur. 4.475092 ms  |  Avg. 4.000000 ms  |  matches:  1600
